# run_started_utc: 2026-08-19T17:39:25.245455+00:00
# run_started_local: 2026-08-19T23:09:25.245455+05:30
# run_ended_utc: 2026-08-19T17:41:28.987008+00:00
# simulated_duration_s: 586.1
# rows_written: 232
# git_commit: 7a1da34
# git_tree: clean
# schedule_file: E:\BSc Project Task\Simulation\signal_schedule_annual.csv
# schedule_sha256: 9ab4100c95934d3065dcf27fee6c19e9cde8e295cd37f3da4c3b1d31e9efba9e
# approved_by: sasiru
# approved_at: 2026-08-19T17:39:24.981286+00:00
# encryption_at_end: on
# encryption_toggled_during_run: yes
# attacks_fired: false_data_injection, sensor_spoofing
# demand_multiplier: 1
# density: 1x
sim_time_s,clock,arm,demand_window,arrivals_window,blocked_entries,discharged_window,green_seconds_window,discharge_per_green_s,queue_length,mean_speed,accident_active,accident_location,anomaly_flag
170.0,08:02,North,7,6,38,6,16.05,0.3739,1,1.467,1,"West arm, outgoing lane",0
170.0,08:02,South,3,0,8,1,0.95,1.0545,3,0.544,1,"West arm, outgoing lane",0
170.0,08:02,East,2,0,2,0,0,0.0,8,0.0,1,"West arm, outgoing lane",0
170.0,08:02,West,2,2,2,0,0,0.0,3,0.0,1,"West arm, outgoing lane",0
180.0,08:03,North,9,7,39,3,6.05,0.4963,6,0.081,1,"West arm, outgoing lane",0
180.0,08:03,South,2,0,8,7,10.95,0.6391,0,2.2,1,"West arm, outgoing lane",0
180.0,08:03,East,4,0,4,0,0,0.0,8,0.0,1,"West arm, outgoing lane",0
180.0,08:03,West,0,0,2,0,0,0.0,3,0.0,1,"West arm, outgoing lane",0
190.0,08:03,North,10,4,44,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
190.0,08:03,South,0,0,8,6,20.01,0.2998,0,2.2,1,"West arm, outgoing lane",0
190.0,08:03,East,4,0,6,0,0,0.0,8,0.0,1,"West arm, outgoing lane",0
190.0,08:03,West,1,1,2,0,0,0.0,4,0.0,1,"West arm, outgoing lane",0
200.0,08:03,North,12,0,51,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
200.0,08:03,South,1,1,8,0,12.05,0.0,1,0.0,1,"West arm, outgoing lane",0
200.0,08:03,East,3,0,7,4,4.94,0.8105,2,0.416,1,"West arm, outgoing lane",0
200.0,08:03,West,1,1,2,0,0,0.0,4,0.0,1,"West arm, outgoing lane",0
210.0,08:03,North,7,0,51,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
210.0,08:03,South,1,1,8,0,2.06,0.0,1,0.0,1,"West arm, outgoing lane",0
210.0,08:03,East,1,0,7,8,14.94,0.5355,0,2.2,1,"West arm, outgoing lane",0
210.0,08:03,West,0,0,2,0,0,0.0,4,0.0,1,"West arm, outgoing lane",0
220.0,08:03,North,1,0,52,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
220.0,08:03,South,0,0,8,0,0,0.0,1,0.0,1,"West arm, outgoing lane",0
220.0,08:03,East,0,0,7,4,18.07,0.2214,0,2.2,1,"West arm, outgoing lane",0
220.0,08:03,West,0,0,2,0,0,0.0,4,0.0,1,"West arm, outgoing lane",0
230.0,08:03,North,1,0,52,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
230.0,08:03,South,0,0,8,0,0,0.0,1,0.0,1,"West arm, outgoing lane",0
230.0,08:03,East,0,0,7,0,8.06,0.0,0,2.2,1,"West arm, outgoing lane",0
230.0,08:03,West,0,0,2,4,8.94,0.4477,0,2.2,1,"West arm, outgoing lane",0
240.0,08:04,North,0,0,52,0,0,0.0,7,0.0,1,"West arm, outgoing lane",0
240.0,08:04,South,0,0,8,0,0,0.0,1,0.0,1,"West arm, outgoing lane",0
240.0,08:04,East,0,0,7,0,0,0.0,0,2.2,1,"West arm, outgoing lane",0
240.0,08:04,West,0,0,2,4,16.0,0.25,0,2.2,1,"West arm, outgoing lane",0
250.0,08:04,North,0,0,52,7,9.92,0.7056,0,2.2,1,"West arm, outgoing lane",0
250.0,08:04,South,0,0,8,0,0,0.0,1,0.0,1,"West arm, outgoing lane",0
250.0,08:04,East,0,0,7,0,0,0.0,0,2.2,1,"West arm, outgoing lane",0
