# run_started_utc: 2026-08-20T05:24:43.089514+00:00
# run_started_local: 2026-08-20T10:54:43.089514+05:30
# run_ended_utc: 2026-08-20T05:25:35.869311+00:00
# simulated_duration_s: 254.3
# rows_written: 100
# git_commit: 8a25cc8
# git_tree: dirty
# schedule_file: E:\BSc Project Task\Simulation\signal_schedule_annual.csv
# schedule_sha256: 9ab4100c95934d3065dcf27fee6c19e9cde8e295cd37f3da4c3b1d31e9efba9e
# approved_by: sasiru
# approved_at: 2026-08-20T05:24:43.041570+00:00
# encryption_at_end: on
# encryption_toggled_during_run: no
# attacks_fired: false_data_injection
# demand_multiplier: 50
# density: 50x
sim_time_s,clock,arm,demand_window,arrivals_window,blocked_entries,discharged_window,green_seconds_window,discharge_per_green_s,queue_length,mean_speed,accident_active,accident_location,anomaly_flag,readings_sent_window,readings_rejected_window,signals_fired_window
10.0,08:00,North,0,0,0,0,10.01,0.0,0,2.2,0,,0,1,0,
10.0,08:00,South,1,1,0,0,0,0.0,0,2.2,0,,0,1,0,
10.0,08:00,East,1,1,0,0,0,0.0,0,2.2,0,,0,1,0,
10.0,08:00,West,0,0,0,0,0,0.0,0,2.2,0,,0,1,0,
90.0,08:01,West,1,1,1,0,0,0.0,4,0.003,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
100.0,08:01,North,10,0,22,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
100.0,08:01,South,3,3,1,0,0,0.0,6,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
100.0,08:01,East,3,3,1,4,18.05,0.2216,1,0.127,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
100.0,08:01,West,1,1,1,0,0,0.0,4,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
110.0,08:01,North,10,0,27,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
110.0,08:01,South,2,1,2,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
110.0,08:01,East,3,3,1,2,8.04,0.2489,2,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
110.0,08:01,West,0,0,1,4,8.97,0.4458,0,2.2,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
120.0,08:02,North,9,0,31,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
120.0,08:02,South,4,1,4,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
120.0,08:02,East,4,4,1,0,0,0.0,3,0.55,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
120.0,08:02,West,1,1,1,4,16.01,0.2499,1,0.012,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
130.0,08:02,North,10,3,34,8,9.95,0.8038,0,2.2,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
130.0,08:02,South,4,0,6,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
130.0,08:02,East,4,4,1,0,0,0.0,5,0.367,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
130.0,08:02,West,3,3,1,0,7.05,0.0,3,0.04,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
140.0,08:02,North,14,7,38,14,19.97,0.7012,0,2.2,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
140.0,08:02,South,4,0,8,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
140.0,08:02,East,1,1,1,0,0,0.0,6,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
140.0,08:02,West,2,2,1,0,0,0.0,3,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
150.0,08:02,North,10,6,38,7,20.0,0.35,0,2.2,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
150.0,08:02,South,3,0,9,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
150.0,08:02,East,0,0,1,0,0,0.0,6,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
150.0,08:02,West,0,0,1,0,0,0.0,3,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
160.0,08:02,North,9,7,40,6,20.01,0.2998,0,2.2,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
160.0,08:02,South,3,0,11,0,0,0.0,7,0.0,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
160.0,08:02,East,1,1,1,0,0,0.0,7,0.042,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
160.0,08:02,West,3,2,2,0,0,0.0,4,0.44,0,,0,1,1,S1_INTEGRITY_FAIL;S4_SIMULTANEITY
